交换超立方体网络容错路由研究	为了研究交换超立方体网络容错路由问题,引入了相邻结点集合类的概念,提出了相邻结点集的求解公式。对于满足任意子连通性条件的交换超立方体网络,给出了基于相邻结点集合类的自适应容错路由算法及算法的步长上界。仿真实验结果表明算法是有效的。
一种基于通讯痕迹的社会网络团伙分析模型	研究在已知目标团伙中某节点以及目标团伙特征的前提下,基于通讯痕迹特征寻找社会网络团伙。研究过程中引入了社会圈、节点中心度和事件集合关联矩阵等概念,重点将聚类分析方法与社会团伙发现相结合,以期得到一种基于通讯痕迹的社会网络团伙分析模型。
基于Hadoop平台的XML文档重复数据检测	XML数据越来越广泛地被用于信息交换与集成中,其数据质量问题引起了人们的关注.解决由数据质量引发的问题,实体识别技术非常关键.为了克服现有方法的不足,在海量XML数据上进行高效的重复对象检测,以实体识别技术为基础提出了基于Hadoop平台的XML文档重复检测算法,它将所有标签节点统称为属性,用实体来描述属性,通过属性的比较,快速地找到在某些属性上相同的所有实体对象,并利用Hadoop应用框架处理海量数据的优势实现并行处理.经过试验验证该方法良好的扩展性,伸缩性和高效性.
快速码字搜索算法中一维特征量的最佳选择方法	矢量量化编码过程中的最近邻码字搜索需要进行大量的矢量间距离的计算,这个过程的计算复杂度极高,严重限制了其实际使用.为了加速矢量量化的编码过程,许多文献提出了各种不同组合的基于均值、2-范数、方差和角度的矢量一维特征量的快速最近邻矢量量化码字搜索算法.通过实验给出了这四个一维特征量单独使用以及相互组合的所有情况下各算法的搜索范围和编码时间,并对它们进行了比较和分析,进而提出了在实际进行编码时如何最优地进行一维特征量选取的准则.
海量病例CT图像的快速查找检索模型仿真	在海量病例CT图像的快速查找检索过程中,采用传统算法进行检索,由于计算复杂、计算量大等原因,造成病例CT图像查找检索效率过低的问题。为解决上述问题,提出了一种改进高阶统计量算法的海量病例CT图像的快速查找检索方法。通过Radon变换方法将病例CT图像代入到一维空间中,获取病例CT图像投影数据的双谱信息,将高阶统计量算法与亚像素边缘特征算法相融合,将亚像素级精度位置搜索的问题变为最小化函数,对病例CT图像的亚像素边缘特征进行有效的提取。采用奇异值-迭代最近点法(SVD-ICP)和小波极大值完成病例CT图像轮廓间配准融合,进而实现了海量病例CT图像的快速查找与检索。实验结果表明,提出的改进高阶统计量算法的海量病例CT图像的快速查找检索方法精确度高,实用性强。
基于像素分解的圆形标志点亚像素定位研究	影像中圆形标志点的定位对于数字摄影测量具有重要作用.通过对圆形标志点边缘处的混合像素进行亚像素定位,提取出标志点的亚像素级边缘,再基于最小二乘原理进行椭圆拟合得到圆形标志的中心坐标.运用三种实验表明,与直接采用像素级边缘进行拟合定位相比,该方法的精度明显提高.
基于稀疏低秩描述的图像检索方法	使用颜色、形状、纹理等特征的基于内容的图像检索技术,将图像看作向量空间中的点,通过计算两点之间的某种距离来衡量图像间的相似度,然而在提取图像特征时相同类型的图像会出现不一致的特征,极大地影响了检索算法的准确率。针对该问题,提出一种稀疏低秩描述的多特征图像检索方法。通过对图像集的稀疏低秩描述,保持了相同类别特征的全局结构,同时也降低了对于局部噪声的敏感度,增强了检索算法的鲁棒性。在Corel图像集上的检索实验结果表明,该方法较已有的基于内容的图像检索方法有更好的检索效果。
基于神经网络的铁水KR脱硫预报模型	将神经网络理论应用于铁水脱硫过程,研究工艺参数与其影响因子之间的关系,建立预报模型,为生产过程中工艺参数(搅拌时间、搅拌次数和加入剂量)的设定选择提供准确的预报。研究分析表明,该预报模型可以应用于实际生产,提高铁水的脱硫成功的命中率,降低铁水的脱硫成本。
VANET安全技术综述	随着车载自组织网络技术的不断发展,研究者对车载自组织网络系统安全进行了深入研究.论文阐述了车载自组织网络领域中安全研究的重要性;介绍了该领域中目前最新研究进展和存在的主要问题;讨论并比较了各种安全协议应用于车载自组织网络的优缺点;分析总结了系统中安全协议的设计要素;最后展望了车载自组织网络安全技术的未来研究方向.
基于DSpace构建传统蒙古文学科机构知识库平台	本文主要阐述了基于DSpace构建传统蒙古文学科机构知识库的难点以及解决的技术路线,包括蒙古文数字资料的采集、存储、检索以及显示等。针对蒙古文的构词和语法等方面的特点,对开源搜索引擎Lucene进行改进——采用B树管理Term、简化了特征词权值的计算、采用EC方法确定了蒙古文停用词表,实现了基于Lucene的蒙古文检索。
一种基于DWT和HVS的图像版权保护研究	提出一种基于离散小波变换(DWT)的数字水印进行图像版权保护的新方法。将一幅有意义的二值图像作为水印来隐藏,先将水印图像使用推广Arnold的变换进行置乱后和图像同时进行多尺度分解,然后将分解后的水印系数根据人类视觉系统(HVS)特性自适应地嵌入到具有相同尺寸的低中频系数中,重构得到水印图像。实验结果表明,该算法具有较好的不可见性、鲁棒性和安全性。
用块稀疏贝叶斯学习算法重构识别体域网步态模式	针对低功耗体域网步态远程监测终端非稀疏加速度数据重构和步态模式识别性能优化问题,提出了一种基于块稀疏贝叶斯学习的体域网远程步态模式重构识别新方法,该方法基于体域网远程步态监测系统架构和压缩感知框架,在体域网传感节点利用线性稀疏矩阵压缩原始加速度数据,减少传输数据量,降低其功耗,同时在远程终端基于块稀疏贝叶斯学习算法充分利用加速度数据块结构内在相关性,获取加速度数据内在稀疏性,有效提高非稀疏加速度数据重构性能,为准确识别步态模式提供可靠的数据支撑。采用USC-HAD数据库中行走、跑、跳、上楼、下楼五种步态运动的加速度数据验证新方法的有效性,实验结果表明,基于所提算法的加速度数据重构性能明显优于传统压缩感知重构算法性能,使基于支持向量机多步态分类器识别准确率可达98%,显著提高体域网远程步态模式识别性能。所提新方法不仅有效提高非稀疏加速度数据重构和步态模式识别性能,并且也有助于设计低功耗、低成本的体域网加速度数据采集系统,为体域网远程监测步态模式变化提供一个新方法和新思路。
考虑后视和最优速度记忆的跟驰模型及仿真	为提高交通流的稳定性,在考虑后视效应和速度差信息(Backward Looking and Velocity Difference,BLVD)模型的基础上,综合考虑后视和最优速度记忆效应,提出了一个扩展的跟驰模型。采用线性稳定性分析,推导出该模型的交通流稳定判据,发现在模型中引入后视和最优速度记忆效应的共同作用后,交通流的稳定区域有明显增大。通过数值仿真验证了理论分析,仿真结果表明:在初始扰动相同的条件下,与BLVD模型相比,新提出的扩展模型具有更好的交通流致稳性能。最后,使用NGSIM数据对所提出的跟驰模型进行参数标定和评价,证明其能更准确地刻画车流演变规律。
砂轮位置对成形磨齿齿廓偏差的补偿	为提高成形磨齿加工的精度,提出一种通过调整砂轮位置实现齿廓偏差补偿的方法。应用包络理论,建立已知砂轮轴向廓形和砂轮位置误差计算齿轮端面廓形的数学模型。通过数值研究发现,齿廓倾斜偏差与砂轮径向位置误差和切向位置误差成正比例关系而且满足叠加原理。应用这些规律,依据测量的齿廓偏差可以方便地计算出砂轮位置调整量。试验结果表明,该方法可以将齿廓倾斜偏差由7级精度(ISO1328-1:1997)提高到2级精度。
基于物联网智能的独居老人自动监控方法研究	研究基于物联网框架下的独居老年人智能看护的问题。独居老人在家的行为存在较大突发性和随机性,关键反映特征受到手臂、角度、房屋结构等遮挡,存在监控死角。传统的智能监控方法缺少独立行为识别能力,框架下的设备无法对突发特征进行报警,由于遮挡的存在,对一些疑似行为缺少准确的识别。提出一种物联网框架下的人工智能独居老年人自动看护方法。在物联网的框架下,对老年人活动空间中视觉传感器采集的信号进行增强处理,为了适应物联网设备众多的需要,利用混沌粒子群算法,根据上述监控信号,完成老年人行为的寻优识别,克服死角、遮挡、异常无行为运动的干扰,实现老年人智能看护。实验结果表明,运用该算法进行人工智能独居老年人自动看护,能够极大的降低看护过程中的误识别率,从而保证独居老年人的安全。
动能橡胶圆球弹优化选择及外弹道仿真	为了为某型动能防暴发射器选择最优橡胶弹丸,建立了橡胶圆球弹外弹道模型,从国内外典型橡胶圆球弹的大小、空气阻力对弹道的影响和终点效应三方面分析了对橡胶圆球弹选择的影响,利用MATLAB仿真软件计算了8mm、10mm、15mm3种直径不同质量条件下的空气阻力对弹道的影响、最大射程、终点速度、飞行时间、动能和比动能;重点分析比动能和K值对弹道特性及终点效应的影响,通过分析和比较,得出了直径为10mm,质量为2g的橡胶圆球弹最适合作为某型动能防暴发射器的战斗弹丸;通过分析直径10mm,质量2g的橡胶圆球弹不同发射角度情况下的弹道特性和终点效应,结果表明,该橡胶圆球弹存速能力强,发射距离远,安全性高,为某型动能防暴发射器的弹丸制造提供了理论支撑。
一种自适应调制的鱼群优化部分传输序列算法	针对现有OFDM系统单一调制方式下峰均功率比过高问题,提出采用自适应调制的AFSA-PTS算法。该算法基于子载波信道增益对子载波进行自适应比特分配,根据比特数确定各子载波的调制方式,实现自适应调制,并采用AFSA快速寻优到PTS算法中的最佳序列,从而在降低系统计算复杂度的同时,实现峰均功率比的有效降低。仿真结果表明,采用自适应调制AFSA-PTS算法在降低峰均比的同时可有效降低系统的计算复杂度,证明了其优越性。
基于排队论的升降横移立体车库控制策略研究	关于升降横移自动化立体车库的结构优化设计问题,为车库结构安全可靠,操作方便,给出了三种不同存取车辆策略的定义,以排队论为理论依据,结合最优车位计算原则,对实际情况中遇到的存(取)车高峰期和非高峰期时间段建立了使用存车优先、原地复位、交叉存取不同控制策略车库相应的数学模型,对特定参数的模型进行了Matlab仿真,并给出分析结果,综合分析结果表明采用原地复位存取车策略车库的平均存取车时间较短,车位利用率较高,对车库设计前期和管理者决策具有重要的现实意义。
在网络流量中搜索恶意输入并自动修复验证	"为了真正实施自我修复技术,提高它们在系统中信任级别,在它自动发展后,""修复""的功效必须进行测试和验证。但在实际部署之前,由于攻击的特性,这种验证必须是自动进行,该问题称为自动修复验证(automatic repair validation,ARV)。为了说明ARV所面临的困难,提出了一种系统的设计,该系统跟踪和存储恶意的网络流量,为自我修复软件在验证阶段后重放提供条件。实例验证了该方法的可行性。"
云计算中虚拟资源的智能多代理设计	针对随着网络数据传输速度和复杂性的不断增加,网络管理变得更加困难的现状,提出了一种虚拟资源的智能多代理模型。描述了虚拟资源的智能多代理的处理过程,讨论了不同代理的处理机制。通过分析用户上下文和系统状态,可实时地分析社会媒体资源。根据虚拟资源的使用类型,对用户上下信息的需求进行分析和推断,自动地给用户分配资源。采用云计算中虚拟资源动态调度方法及MovieLens系统评估该模型,结果证明所提出的模型具有较好的性能,可实现虚拟资源的动态调度,动态地实现负载均衡,使云计算中的虚拟资源得到高效的利用。
